Locus	GC	GC1	GC2	GC3
UL79	60.9234234234	64.1891891892	44.9324324324	73.6486486486
UL76	61.7586912065	68.7116564417	56.4417177914	60.1226993865
UL77	62.6373626374	67.1899529042	45.68288854	75.0392464678
UL74	42.9175475687	40.5919661734	41.4376321353	46.7230443975
UL75	53.0731269628	57.8734858681	38.6271870794	62.7187079408
UL72	55.8697514996	56.5552699229	43.7017994859	67.35218509
UL73	47.0588235294	38.2352941176	58.0882352941	44.8529411765
UL70	63.3227736712	65.5755015839	44.3505807814	80.0422386484
UL71	63.2596685083	67.1270718232	42.5414364641	80.1104972376
UL150A	62.0098039216	61.0294117647	57.3529411765	67.6470588235
UL18	48.8708220416	45.7994579946	41.7344173442	59.0785907859
UL19	55.5555555556	53.5353535354	49.4949494949	63.6363636364
UL14	67.174796748	65.8536585366	52.1341463415	83.5365853659
UL74A	53.9906103286	52.1126760563	45.0704225352	64.7887323944
UL16	54.9783549784	51.0822510823	44.5887445887	69.2640692641
UL17	56.8253968254	61.9047619048	46.6666666667	61.9047619048
UL10	44.5751633987	43.5294117647	44.3137254902	45.8823529412
UL11	47.0085470085	43.956043956	46.1538461538	50.9157509158
UL13	59.9156118143	66.8776371308	52.1097046414	60.7594936709
UL94	57.1290944123	55.4913294798	46.8208092486	69.0751445087
UL95	61.2983770287	61.4232209738	51.4981273408	70.9737827715
UL96	60.9375	68.75	37.5	76.5625
UL97	64.4538606403	64.1242937853	50.0	79.2372881356
UL91	60.7142857143	61.6071428571	46.4285714286	74.1071428571
UL92	56.1056105611	56.4356435644	37.6237623762	74.2574257426
UL93	62.0168067227	70.5882352941	47.5630252101	67.8991596639
UL98	63.4757834758	66.6666666667	43.0769230769	80.6837606838
UL22A	52.2012578616	51.8867924528	45.2830188679	59.4339622642
US20	54.6405228758	47.4509803922	40.3921568627	76.0784313725
UL123	50.135501355	52.8455284553	37.3983739837	60.162601626
UL122	57.6592082616	55.0774526678	46.6437177281	71.256454389
UL121	55.8011049724	55.2486187845	45.3038674033	66.8508287293
UL120	47.0297029703	44.0594059406	41.0891089109	55.9405940594
UL124	57.6158940397	59.6026490066	54.9668874172	58.2781456954
UL69	61.3728129206	65.8142664872	48.1830417227	70.1211305518
RL11	52.6241134752	54.0425531915	44.2553191489	59.5744680851
RL10	53.8011695906	50.8771929825	41.5204678363	69.0058479532
RL13	42.6303854875	37.4149659864	49.6598639456	40.8163265306
UL147A	52.1929824561	56.5789473684	42.1052631579	57.8947368421
RL12	41.0441767068	37.8313253012	49.3975903614	35.9036144578
UL87	60.3680113234	62.9511677282	45.966029724	72.186836518
UL135	66.1272923409	61.4886731392	61.1650485437	75.7281553398
UL136	61.1341632089	63.4854771784	52.2821576763	67.6348547718
UL84	60.0340136054	64.1156462585	47.9591836735	68.0272108844
UL130	56.2790697674	52.0930232558	45.5813953488	71.1627906977
UL30A	62.9166666667	57.5	66.25	65.0
UL132	56.2115621156	51.6605166052	45.3874538745	71.5867158672
UL133	60.5943152455	58.1395348837	55.8139534884	67.8294573643
RL6	41.6666666667	39.2857142857	42.8571428571	42.8571428571
RL1	61.2004287245	66.8810289389	54.3408360129	62.3794212219
UL139	51.7985611511	43.1654676259	65.4676258993	46.7625899281
UL89	58.1728395062	53.3333333333	36.7407407407	84.4444444444
UL88	61.3178294574	66.0465116279	46.2790697674	71.6279069767
US19	62.7939142462	66.8049792531	46.4730290456	75.1037344398
US18	57.9393939394	55.2727272727	40.3636363636	78.1818181818
US13	57.3791348601	56.106870229	42.7480916031	73.2824427481
US12	55.7919621749	54.9645390071	43.2624113475	69.1489361702
US11	56.6358024691	60.6481481481	43.0555555556	66.2037037037
US10	56.8100358423	56.9892473118	47.8494623656	65.5913978495
US17	58.3900226757	51.3605442177	47.2789115646	76.5306122449
US16	59.7849462366	61.935483871	41.935483871	75.4838709677
US15	57.6679340938	52.4714828897	44.4866920152	76.0456273764
US14	59.4855305466	53.0546623794	49.1961414791	76.2057877814
RL9A	56.9444444444	52.0833333333	39.5833333333	79.1666666667
UL38	63.8554216867	62.3493975904	44.8795180723	84.3373493976
UL32	62.5396825397	60.6666666667	52.7619047619	74.1904761905
UL33	53.2687651332	47.4576271186	45.0363196126	67.3123486683
UL30	58.1967213115	60.6557377049	45.0819672131	68.8524590164
UL31	62.9753914989	59.3959731544	46.8120805369	82.7181208054
UL36	61.355695318	61.6352201258	40.6708595388	81.7610062893
UL37	55.3510565781	54.1922290389	45.8077709611	66.0531697342
UL34	63.6437908497	66.1764705882	44.362745098	80.3921568627
UL35	62.1495327103	64.0186915888	46.1059190031	76.3239875389
UL141	59.2920353982	54.8672566372	51.9174041298	71.0914454277
US27	46.8493150685	45.4794520548	35.6164383562	59.4520547945
US24	59.3625498008	64.5418326693	44.422310757	69.1235059761
UL148A	59.670781893	62.962962963	37.037037037	79.012345679
UL145	53.4351145038	55.7251908397	46.5648854962	58.0152671756
US23	60.0899381675	68.802698145	40.6408094435	70.826306914
UL148D	60.3174603175	44.4444444444	49.2063492063	87.3015873016
US21	55.8743169399	52.868852459	40.9836065574	73.7704918033
UL148	57.0977917981	61.8296529968	41.6403785489	67.8233438486
US28	50.3286384977	48.1690140845	38.8732394366	63.9436619718
US29	60.2591792657	61.3390928726	55.0755939525	64.3628509719
UL148C	63.6752136752	69.2307692308	42.3076923077	79.4871794872
IRS1	69.0251572327	72.8773584906	57.0754716981	77.1226415094
UL80.5	63.3689839572	67.9144385027	62.0320855615	60.1604278075
UL131A	58.7179487179	56.9230769231	41.5384615385	77.6923076923
UL48A	59.2105263158	52.6315789474	43.4210526316	81.5789473684
US31	61.1111111111	56.1728395062	56.7901234568	70.3703703704
US30	56.1904761905	59.4285714286	49.4285714286	59.7142857143
UL150	60.9895833333	60.9375	56.71875	65.3125
US32	62.6811594203	64.6739130435	53.8043478261	69.5652173913
UL21A	59.6774193548	75.0	42.7419354839	61.2903225806
US34	57.9268292683	66.4634146341	50.0	57.3170731707
UL25	62.5570776256	63.4703196347	48.097412481	76.103500761
UL8	47.2820512821	45.5384615385	46.1538461538	50.1538461538
UL9	37.7492877493	37.1794871795	38.8888888889	37.1794871795
UL24	62.3955431755	61.8384401114	45.6824512535	79.6657381616
UL2	52.7777777778	58.3333333333	36.6666666667	63.3333333333
UL1	40.0304414003	42.0091324201	38.3561643836	39.7260273973
UL6	49.4661921708	46.6192170819	51.2455516014	50.5338078292
UL7	47.533632287	45.7399103139	44.3946188341	52.466367713
UL4	41.7777777778	36.0	40.0	49.3333333333
UL5	53.6926147705	52.6946107784	46.7065868263	61.6766467066
UL26	65.0793650794	67.7248677249	45.5026455026	82.0105820106
UL20	48.0825958702	47.4926253687	43.6578171091	53.0973451327
US2	54.5	50.0	37.5	76.0
UL23	57.8947368421	55.0877192982	43.5087719298	75.0877192982
UL148B	58.024691358	59.2592592593	46.9135802469	67.9012345679
US26	56.8984547461	62.2516556291	41.8874172185	66.5562913907
UL15A	63.1067961165	56.3106796117	60.1941747573	72.8155339806
UL138	59.8039215686	57.6470588235	45.2941176471	76.4705882353
UL140	58.8541666667	61.4583333333	46.3541666667	68.75
US7	48.0825958702	49.5575221239	38.0530973451	56.6371681416
US6	52.0947176685	53.0054644809	48.6338797814	54.6448087432
UL27	65.5172413793	69.7865353038	46.9622331691	79.802955665
UL142	41.9389978214	39.8692810458	43.4640522876	42.4836601307
US3	54.367201426	53.4759358289	35.2941176471	74.3315508021
TRS1	68.9057879172	71.7363751584	56.6539923954	78.3269961977
US1	65.6050955414	62.4203821656	58.5987261146	75.7961783439
US22	60.543038706	63.6048526863	45.9272097054	72.0970537262
US8	57.8947368421	60.5263157895	44.298245614	68.8596491228
UL29	64.2415596767	63.4807417974	47.3609129815	81.8830242511
US9	59.811827957	55.6451612903	52.4193548387	71.3709677419
UL144	46.1393596987	46.3276836158	42.9378531073	49.1525423729
