Project Accession	Sample Accession	Name	Instrument	Insert Size	Library source	Library selection	Library Strategy	Fq read1 name	Fq read2 name
PRJEB29585	ERS2986275	PAV12	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV12_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV12_2.fq.gz
PRJEB29585	ERS2986276	PAV16	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV16_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV16_2.fq.gz
PRJEB29585	ERS2986277	PAV17	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV17_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV17_2.fq.gz
PRJEB29585	ERS2986278	PAV18	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV18_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV18_2.fq.gz
PRJEB29585	ERS2986279	PAV20	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV20_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV20_2.fq.gz
PRJEB29585	ERS2986280	PAV21	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV21_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV21_2.fq.gz
PRJEB29585	ERS2986281	PAV22	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV22_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV22_2.fq.gz
PRJEB29585	ERS2986282	PAV23	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV23_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV23_2.fq.gz
PRJEB29585	ERS2986283	PAV24	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV24_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV24_2.fq.gz
PRJEB29585	ERS2986284	PAV25	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV25_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV25_2.fq.gz
PRJEB29585	ERS2986285	PAV26	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV26_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PAV26_2.fq.gz
PRJEB29585	ERS2986286	JER847	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER847_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER847_2.fq.gz
PRJEB29585	ERS2986287	JER851	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER851_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER851_2.fq.gz
PRJEB29585	ERS2986288	JER893	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER893_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER893_2.fq.gz
PRJEB29585	ERS2986289	JER1070	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER1070_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER1070_2.fq.gz
PRJEB29585	ERS2986290	JER1289K	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER1289K_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER1289K_2.fq.gz
PRJEB29585	ERS2986291	JER1289L	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER1289L_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER1289L_2.fq.gz
PRJEB29585	ERS2986292	JER2002	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER2002_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER2002_2.fq.gz
PRJEB29585	ERS2986293	JER2282	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER2282_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER2282_2.fq.gz
PRJEB29585	ERS2986294	JER3230	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER3230_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER3230_2.fq.gz
PRJEB29585	ERS2986295	JER3855	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER3855_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER3855_2.fq.gz
PRJEB29585	ERS2986296	JER4035	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER4035_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER4035_2.fq.gz
PRJEB29585	ERS2986297	JER4041	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER4041_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER4041_2.fq.gz
PRJEB29585	ERS2986298	JER4053	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER4053_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER4053_2.fq.gz
PRJEB29585	ERS2986299	JER4559	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER4559_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER4559_2.fq.gz
PRJEB29585	ERS2986300	JER4755	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER4755_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER4755_2.fq.gz
PRJEB29585	ERS2986301	JER5069	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER5069_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER5069_2.fq.gz
PRJEB29585	ERS2986302	JER5268	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER5268_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER5268_2.fq.gz
PRJEB29585	ERS2986303	JER5409	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER5409_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER5409_2.fq.gz
PRJEB29585	ERS2986304	JER5550	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER5550_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER5550_2.fq.gz
PRJEB29585	ERS2986305	JER5695	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER5695_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/JER5695_2.fq.gz
PRJEB29585	ERS2986306	PRA1	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA1_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA1_2.fq.gz
PRJEB29585	ERS2986307	PRA2	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA2_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA2_2.fq.gz
PRJEB29585	ERS2986308	PRA3	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA3_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA3_2.fq.gz
PRJEB29585	ERS2986309	PRA4	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA4_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA4_2.fq.gz
PRJEB29585	ERS2986310	PRA5	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA5_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA5_2.fq.gz
PRJEB29585	ERS2986311	PRA5A	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA5A_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA5A_2.fq.gz
PRJEB29585	ERS2986312	PRA5B	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA5B_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA5B_2.fq.gz
PRJEB29585	ERS2986313	PRA6A	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA6A_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA6A_2.fq.gz
PRJEB29585	ERS2986314	PRA6	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA6_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA6_2.fq.gz
PRJEB29585	ERS2986315	PRA7	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA7_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA7_2.fq.gz
PRJEB29585	ERS2986316	PRA8A	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA8A_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA8A_2.fq.gz
PRJEB29585	ERS2986317	PRA8	Illumina MiSeq	500	GENOMIC	hybrid selection	WGS	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA8_1.fq.gz	/home3/scc20x/Desktop/NicoCollectionReads/removeHumanReads/resultCollection1/PRA8_2.fq.gz
